year,country,region,artist,song
2006,Israel,Independent,Eddie Butler,Together We Are One
2006,Latvia,Former Socialist Bloc,Vocal Group Cosmos,I Hear Your Heart
2006,Norway,Scandinavia,Christine Guldbrandsen,Alvedansen
2006,Spain,Western Europe,Las Ketchup,Un Blodymary
2006,Malta,Western Europe,Fabrizio Faniello,I Do
2006,Germany,Western Europe,Texas Lightning,No No Never
2006,Denmark,Scandinavia,Sidsel Ben Semmane,Twist of Love
2006,Russia,Former Socialist Bloc,Dima Bilan,Never Let You Go
2006,Macedonia,Former Yugoslavia,Elena Risteska,Ninanajna
2006,Romania,Former Socialist Bloc,Mihai Tr?istariu,Tornerä
2006,Bosnia and Herzegovina,Former Yugoslavia,Hari Mata Hari,Lejla
2006,Lithuania,Former Socialist Bloc,LT United,We Are The Winners
2006,United Kingdom,Independent,Daz Sampson,Teenage Life
2006,Greece,Western Europe,Anna Vissi,Everything
2006,Finland,Scandinavia,Lordi,Hard Rock Hallelujah
2006,Ukraine,Former Socialist Bloc,Tina Karol,Show Me Your Love
2006,France,Western Europe,Virginie Pouchain,Il _tait temps
2006,Croatia,Former Yugoslavia,Severina,Moja ?tikla
2006,Ireland,Independent,Brian Kennedy,Every Song Is a Cry for Love
2006,Sweden,Scandinavia,Carola,Invincible
2006,Turkey,Independent,Sibel Tzn,Sper Star
2006,Armenia,Former Socialist Bloc,Andr_,Without Your Love
2005,Hungary,Former Socialist Bloc,NOX,"""Forogj"
2005,United Kingdom,Independent,Javine,Touch My Fire
2005,Malta,Western Europe,Chiara,Angel
2005,Romania,Former Socialist Bloc,Lumini?a Anghel and Sistem,Let Me Try
2005,Norway,Scandinavia,Wig Wam,In My Dreams
2005,Turkey,Independent,Glseren,Rimi Rimi Ley
2005,Moldova,Former Socialist Bloc,Zdob ?i Zdub,Boonika bate doba
2005,Albania,Former Socialist Bloc,Ledina Üelo,Tomorrow I Go
2005,Cyprus,Independent,Constantinos Christoforou,Ela Ela (Come Baby)
2005,Spain,Western Europe,Son de Sol,Brujera
2005,Israel,Independent,Shiri Maimon,Hasheket Shenish'ar
2005,Serbia and Montenegro,Former Yugoslavia,No Name,Zauvijek moja
2005,Denmark,Scandinavia,Jakob Sveistrup,Talking to You
2005,Sweden,Scandinavia,Martin Stenmarck,Las Vegas
2005,Macedonia,Former Yugoslavia,Martin Vu?i?,Make My Day
2005,Ukraine,Former Socialist Bloc,GreenJolly,Razom nas bahato
2005,Germany,Western Europe,Gracia Baur,Run and Hide
2005,Croatia,Former Yugoslavia,Boris Novkovi?,Vukovi umiru sami
2005,Greece,Western Europe,Helena Paparizou,My Number One
2005,Russia,Former Socialist Bloc,Natalia Podolskaya,Nobody Hurt No One
2005,Bosnia and Herzegovina,Former Yugoslavia,Feminnem,Call Me
2005,Switzerland,Western Europe,Vanilla Ninja,Cool Vibes
2005,Latvia,Former Socialist Bloc,Walters and Kazha,The War Is Not Over
2005,France,Western Europe,Ortal,Chacun pense Ñ soi
2004,Spain,Western Europe,Ram¢n,Para llenarme de ti
2004,Austria,Western Europe,Tie Break,Du bist
2004,Norway,Scandinavia,Knut Anders S_rum,High
2004,France,Western Europe,Jonatan Cerrada,_ chaque pas
2004,Serbia and Montenegro,Former Yugoslavia,?eljko Joksimovi?,Lane moje
2004,Malta,Western Europe,Julie and Ludwig,On Again... Off Again
2004,Netherlands,Western Europe,Re-Union,Without You
2004,Germany,Western Europe,Max,Can't Wait Until Tonight
2004,Albania,Former Socialist Bloc,Anjeza Shahini,The Image of You
2004,Ukraine,Former Socialist Bloc,Ruslana,Wild Dances
2004,Croatia,Former Yugoslavia,Ivan Mikuli?,You Are The Only One
2004,Bosnia and Herzegovina,Former Yugoslavia,Deen,In The Disco
2004,Belgium,Western Europe,Xandee,1 Life
2004,Russia,Former Socialist Bloc,Julia Savicheva,Believe Me
2004,Macedonia,Former Yugoslavia,To?e Proeski,Life
2004,Greece,Western Europe,Sakis Rouvas,Shake It
2004,Iceland,Scandinavia,J¢nsi,Heaven
2004,Ireland,Independent,Chris Doran,If My World Stopped Turning
2004,Poland,Former Socialist Bloc,Blue Caf_,Love Song
2004,United Kingdom,Independent,James Fox,Hold On to Our Love
2004,Cyprus,Independent,Lisa Andreas,Stronger Every Minute
2004,Turkey,Independent,Athena,For Real
2004,Romania,Former Socialist Bloc,Sanda,I Admit
2004,Sweden,Scandinavia,Lena Philipsson,It Hurts
2003,Iceland,Scandinavia,Birgitta Haukdal,Open Your Heart
2003,Austria,Western Europe,Alf Poier,Weil der Mensch z¾hlt
2003,Ireland,Independent,Mickey Joe Harte,We've Got the World
2003,Turkey,Independent,Sertab Erener,Everyway That I Can
2003,Malta,Western Europe,Lynn Chircop,To Dream Again
2003,Bosnia and Herzegovina,Former Yugoslavia,Mija Martina,Ne brini
2003,Portugal,Western Europe,Rita Guerra,Deixa-me sonhar
2003,Croatia,Former Yugoslavia,Claudia Beni,Vi?e nisam tvoja
2003,Cyprus,Independent,Stelios Konstantas,Feeling Alive
2003,Germany,Western Europe,Lou,Let's Get Happy
2003,Russia,Former Socialist Bloc,t.A.T.u.,"""Ne ver'"
2003,Spain,Western Europe,Beth,Dime
2003,Israel,Independent,Lior Narkis,Words for Love
2003,Netherlands,Western Europe,Esther Hart,One More Night
2003,United Kingdom,Independent,Jemini,Cry Baby
2003,Ukraine,Former Socialist Bloc,Oleksandr Ponomaryov,Hasta la Vista
2003,Greece,Western Europe,Mando,Never Let You Go
2003,Norway,Scandinavia,Jostein Hasselg_rd,I'm Not Afraid To Move On
2003,France,Western Europe,Louisa Ba_leche,Monts et merveilles
2003,Poland,Former Socialist Bloc,Ich Troje,Keine Grenzen-?adnych granic
2003,Latvia,Former Socialist Bloc,F.L.Y.,Hello From Mars
2003,Belgium,Western Europe,Urban Trad,Sanomi
2003,Estonia,Former Socialist Bloc,Ruffus,Eighties Coming Back
2003,Romania,Former Socialist Bloc,Nicola,Don't Break My Heart
2003,Sweden,Scandinavia,Fame,Give Me Your Love
2003,Slovenia,Former Yugoslavia,Karmen Stavec,Nanana
2002,Cyprus,Independent,One,Gimme
2002,United Kingdom,Independent,Jessica Garlick,Come Back
2002,Austria,Western Europe,Manuel Ortega,Say A Word
2002,Greece,Western Europe,Michalis Rakintzis,S.A.G.A.P.O.
2002,Spain,Western Europe,Rosa,Europe's Living A Celebration
2002,Croatia,Former Yugoslavia,Vesna Pisarovi?,Everything I Want
2002,Russia,Former Socialist Bloc,Prime Minister,Northern Girl
2002,Estonia,Former Socialist Bloc,Sahlene,Runaway
2002,Macedonia,Former Yugoslavia,Karolina Go?eva,Od nas zavisi
2002,Israel,Independent,Sarit Hadad,Nadlik Beyakhad Ner (Light A Candle)
2002,Switzerland,Western Europe,Francine Jordi,Dans le jardin de mon ãme
2002,Sweden,Scandinavia,Afro-dite,Never Let It Go
2002,Finland,Scandinavia,Laura Voutilainen,Addicted To You
2002,Denmark,Scandinavia,Malene,Tell Me Who You Are
2002,Bosnia and Herzegovina,Former Yugoslavia,Maja Tati?,Na jastuku za dvoje
2002,Belgium,Western Europe,Sergio & The Ladies,Sister
2002,France,Western Europe,Sandrine Fran_ois,Il faut du temps
2002,Germany,Western Europe,Corinna May,I Can't Live Without Music
2002,Turkey,Independent,Buket Bengisu & Group Safir,Leylaklar Soldu Kalbinde
2002,Malta,Western Europe,Ira Losco,7th Wonder
2002,Romania,Former Socialist Bloc,Monica Anghel & Marcel Pavel,Tell Me Why
2002,Slovenia,Former Yugoslavia,Sestre,Samo ljubezen
2002,Latvia,Former Socialist Bloc,Marie N,I Wanna
2002,Lithuania,Former Socialist Bloc,Aivaras,Happy You
2001,Netherlands,Western Europe,Michelle,Out On My Own
2001,Iceland,Scandinavia,Two Tricky,Angel
2001,Bosnia and Herzegovina,Former Yugoslavia,Nino Pr?e?,Hano
2001,Norway,Scandinavia,Haldor L‚greid,On My Own
2001,Israel,Independent,Tal Sondak,En Davar
2001,Russia,Former Socialist Bloc,Mumiy Troll,Lady Alpine Blue
2001,Sweden,Scandinavia,Friends,Listen To Your Heartbeat
2001,Lithuania,Former Socialist Bloc,SKAMP,You Got Style
2001,Latvia,Former Socialist Bloc,Arnis Mednis,Too Much
2001,Croatia,Former Yugoslavia,Vanna,Strings of My Heart
2001,Portugal,Western Europe,MTM,S¢ sei ser feliz assim
2001,Ireland,Independent,Gary O'Shaughnessy,Without Your Love
2001,Spain,Western Europe,David Civera,Dile que la quiero
2001,France,Western Europe,Natasha St-Pier,Je n'ai que mon ãme
2001,Turkey,Independent,Sedat Yce,Sevgiliye Son
2001,United Kingdom,Independent,Lindsay Dracass,No Dream Impossible
2001,Slovenia,Former Yugoslavia,Nu?a Derenda,Energy
2001,Poland,Former Socialist Bloc,PIASEK,2 Long
2001,Germany,Western Europe,Michelle,Wer Liebe lebt
2001,Estonia,Former Socialist Bloc,"""Tanel Padar", Dave Benton
2001,Malta,Western Europe,Fabrizio Faniello,Another Summer Night
2001,Greece,Western Europe,Antique,Die for You
2001,Denmark,Scandinavia,Rollo & King,Never Ever Let You Go
2000,Israel,Independent,PingPong,Sameyakh
2000,Netherlands,Western Europe,Linda Wagenmakers,No Goodbyes
2000,United Kingdom,Independent,Nicki French,Don't Play That Song Again
2000,Estonia,Former Socialist Bloc,Ines,Once in a Lifetime
2000,France,Western Europe,Sofia Mestari,On aura le ciel
2000,Romania,Former Socialist Bloc,Taxi,The Moon
2000,Malta,Western Europe,Claudette Pace,Desire
2000,Norway,Scandinavia,Charmed,My Heart Goes Boom
2000,Russia,Former Socialist Bloc,Alsou,Solo
2000,Belgium,Western Europe,Nathalie Sorce,Envie de vivre
2000,Cyprus,Independent,Voice,Nomiza
2000,Iceland,Scandinavia,August & Telma,Tell Me!
2000,Spain,Western Europe,Serafn Zubiri,Colgado de un sue_o
2000,Denmark,Scandinavia,Olsen Brothers,Fly on the Wings of Love
2000,Germany,Western Europe,Stefan Raab,Wadde hadde dudde da?
2000,Switzerland,Western Europe,Jane Bogaert,La vita cos'_?
2000,Croatia,Former Yugoslavia,Goran Karan,Kad zaspu an?eli
2000,Sweden,Scandinavia,Roger Pontare,When Spirits Are Calling My Name
2000,Macedonia,Former Yugoslavia,XXL,100% te ljubam
2000,Finland,Independent,Nina strîm,A Little Bit
2000,Latvia,Former Socialist Bloc,Brainstorm,My Star
2000,Turkey,Independent,Pnar Ayhan & The SOS,Yorgunum Anla
2000,Ireland,Independent,Eamonn Toal,Millennium of Love
2000,Austria,Western Europe,The Rounder Girls,All To You
1999,Lithuania,Former Socialist Bloc,Aist?,Strazdas
1999,Belgium,Western Europe,Vanessa Chinitor,Like The Wind
1999,Spain,Western Europe,Lydia,No quiero escuchar
1999,Croatia,Former Yugoslavia,Doris Dragovi?,Marija Magdalena
1999,United Kingdom,Independent,Precious,Say It Again
1999,Slovenia,Former Yugoslavia,Darja ?vajger,For A Thousand Years
1999,Turkey,Independent,Tu?ba _nal,Dîn Artk
1999,Norway,Scandinavia,Stig Van Eijk,Living My Life Without You
1999,Denmark,Scandinavia,Trine Jepsen & Michael Teschl,This Time I Mean It
1999,France,Western Europe,Nayah,Je veux donner ma voix
1999,Netherlands,Western Europe,Marlayne,One Good Reason
1999,Poland,Former Socialist Bloc,Mietek Szcze?niak,Przytul mnie mocno
1999,Iceland,Scandinavia,Selma,All Out of Luck
1999,Cyprus,Independent,Marlain,Tha 'ne erotas
1999,Sweden,Scandinavia,Charlotte Nilsson,Take Me to Your Heaven
1999,Portugal,Western Europe,Rui Bandeira,Como tudo come_ou
1999,Ireland,Independent,The Mullans,When You Need Me
1999,Austria,Western Europe,Bobbie Singer,Reflection
1999,Israel,Independent,Eden,Yom Huledet (Happy Birthday)
1999,Malta,Western Europe,Times Three,Believe 'n Peace
1999,Germany,Western Europe,Srpriz,Reise nach Jerusalem -
1999,Bosnia and Herzegovina,Former Yugoslavia,Dino & B_atrice,Putnici
1999,Estonia,Former Socialist Bloc,Evelin Samuel & Camille,Diamond of Night
1998,Croatia,Former Yugoslavia,Danijela,Neka mi ne svane
1998,Greece,Western Europe,Thalassa,Mia Krifi Evesthisia
1998,France,Western Europe,Marie Line,OÊ aller
1998,Spain,Western Europe,Mikel Herzog,ÔQu_ voy a hacer sin ti?
1998,Switzerland,Western Europe,Gunvor,Lass' ihn
1998,Slovakia,Former Socialist Bloc,Katarna Hasprov_,Modlitba
1998,Poland,Former Socialist Bloc,Sixteen,To takie proste
1998,Israel,Independent,Dana International,Diva
1998,Germany,Western Europe,Guildo Horn,Guildo hat euch lieb!
1998,Malta,Western Europe,Chiara,The One That I Love
1998,Hungary,Former Socialist Bloc,Charlie,A holnap m_r nem lesz szomor£
1998,Slovenia,Former Yugoslavia,Vili Resnik,Naj bogovi sli?ijo
1998,Ireland,Independent,Dawn Martin,Is Always Over Now?
1998,Portugal,Western Europe,Alma Lusa,Se eu te pudesse abra_ar
1998,Romania,Former Socialist Bloc,M?lina Olinescu,Eu cred
1998,United Kingdom,Independent,Imaani,Where Are You?
1998,Cyprus,Independent,Michalis Hadjiyiannis,Genesis
1998,Netherlands,Western Europe,Edsilia,Hemel en aarde
1998,Sweden,Scandinavia,Jill Johnson,K¾rleken ¾r
1998,Belgium,Western Europe,M_lanie Cohl,Dis oui
1998,Finland,Independent,Edea,Aava
1998,Norway,Scandinavia,Lars Fredriksen,Alltid sommer
1998,Estonia,Former Socialist Bloc,Koit Toome,Mere lapsed
1998,Turkey,Independent,Tzmen,Unutamazsn
1998,Macedonia,Former Yugoslavia,Vlado Janevski,"""Ne zori"
2011,Austria,Western Europe,Nadine Beiler,The Secret Is Love
2011,Azerbaijan,Former Socialist Bloc,Ell & Nikki,Running Scared
2011,Bosnia and Herzegovina,Former Yugoslavia,Dino Merlin,Love In Rewind
2011,Denmark,Scandinavia,A Friend In London,New Tomorrow
2011,Estonia,Former Socialist Bloc,Getter Jaani,Rockefeller Street
2011,Finland,Scandinavia,Paradise Oskar,Da Da Dam
2011,France,Western Europe,Amaury Vorobjov,Get You
2011,Georgia,Former Socialist Bloc,Eldrine,One More Day
2011,Germany,Western Europe,Lena,Taken By A Stranger
2011,Greece,Western Europe,Loucas Yiorkas feat. Stereo Mike,Watch My Dance
2011,Hungary,Former Socialist Bloc,Kati Wolf,What About My Dreams?
2011,Iceland,Scandinavia,Sjonni's Friends,Coming Home
2011,Ireland,Independent,Jedward,Lipstick
2011,Italy,Western Europe,Raphael Gualazzi,Madness Of Love
2011,Lithuania,Former Socialist Bloc,Evelina Sa_enko,C'est Ma Vie
2011,Moldova,Former Socialist Bloc,Zdob _i Zdub,So Lucky
2011,Romania,Former Socialist Bloc,Hotel FM,Change
2011,Russia,Former Socialist Bloc,Alexej Vorobjov,Get You
2011,Serbia,Former Yugoslavia,Nina,_aroban
2011,Slovenia,Former Yugoslavia,Maja Keuc,No One
2011,Spain,Western Europe,Luca P_rez,Que Me Quiten Lo Bailao
2011,Sweden,Scandinavia,Eric Saade,Popular
2011,Switzerland,Western Europe,Anna Rossinelli,In Love For A While
2011,Ukraine,Former Socialist Bloc,Mika Newton,Angel
2011,United Kingdom,Western Europe,Blue,I Can
2012,Azerbaijan,Former Socialist Bloc,Sabina Babayeva,When the Music Dies
2012,Albania,Former Socialist Bloc,Rona Nishliu,Suus
2012,Bosnia and Herzegovina,Former Yugoslavia,Maya Sar,Korake ti znam
2012,Cyprus,Independent,Ivi Adamou,La La Love
2012,Denmark,Scandinavia,Soluna Samay,Should've Known Better
2012,Estonia,Former Socialist Bloc,Ott Lepland,Kuula
2012,France,Western Europe,Anggun,Echo (You and I)
2012,Germany,Former Socialist Bloc,Roman Lob,Standing Still
2012,Greece,Western Europe,Eleftheria Eleftheriou,Aphrodisiac
2012,Hungary,Western Europe,Compact Disco,Sound Of Our Hearts
2012,Iceland,Scandinavia,Greta Sal†me & J†nsi,Never Forget
2012,Ireland,Scandinavia,Jedward,Waterline
2012,Italy,Western Europe,Nina Zilli,L'amore  femmina (Out of Love)
2012,Lithuania,Former Socialist Bloc,Donny Montell,Love Is Blind
2012,Macedonia,Former Socialist Bloc,Kaliopi,Crno I Belo
2012,Malta,Western Europe,Kurt Calleja,This Is The Night
2012,Moldova,Former Socialist Bloc,Pasha Parfeny,L_utar
2012,Norway,Scandinavia,Tooji,Stay
2012,Romania,Former Socialist Bloc,Mandinga,Zaleilah
2012,Russia,Former Socialist Bloc,Buranovskiye Babushki,Party For Everybody
2012,Serbia,Former Yugoslavia,_eljko Joksimovi_,Nije Ljubav Stvar
2012,Spain,Western Europe,Pastora Soler,Qu_date conmigo
2012,Sweden,Scandinavia,Loreen,Euphoria
2012,Turkey,Independent,Can Bonomo,Love Me Back
2012,Ukraine,Former Socialist Bloc,Gaitana,Be My Guest
2012,United Kingdom,Western Europe,Engelbert Humperdinck,Love Will Set You Free
2010,Albania,Former Socialist Bloc,Juliana Pasha,It's All About You
2010,Armenia,Former Socialist Bloc,Eva Rivas,Apricot Stone
2010,Azerbaijan,Former Socialist Bloc,Safura,Drip Drop
2010,Belarus,Former Socialist Bloc,3+2_feat_Robert Wells,Butterflies
2010,Belgium,Western Europe,Tom Dice,Me and My Guitar
2010,Bosnia and Herzegovina,Former Yugoslavia,Vuka_in Braji,Thunder and Lightning
2010,Cyprus,Independent,Jon Lilygreen_and_The Islanders,Life Looks Better in Spring
2010,Denmark,Scandinavia,Chan_e and N'evergreen,In a Moment Like This
2010,France,Western Europe,Jessy Matador,Allez Ola Ol_
2010,Georgia,Former Socialist Bloc,Sofia Nizharadze,Shine
2010,Germany,Western Europe,Lena,Satellite
2010,Greece,Western Europe,Giorgos Alkaios and Friends,OPA! (___!)
2010,Iceland,Scandinavia,Hera Bj_rk,Je ne sais quoi
2010,Ireland,Independent,Niamh Kavanagh,It's for You
2010,Israel,Independent,Harel Skaat,Milim (_____)
2010,Moldova,Former Socialist Bloc,SunStroke Project and Olia Tira,Run Away
2010,Norway,Scandinavia,Didrik Solli-Tangen,My Heart Is Yours
2010,Portugal,Western Europe,Filipa Azevedo,Hš dias assim
2010,Romania,Former Socialist Bloc,Paula Seling and Ovi,Playing with Fire
2010,Russia,Former Socialist Bloc,Peter Nalitch and Friends,Lost and Forgotten
2010,Serbia,Former Yugoslavia,Milan Stankovi,Ovo je Balkan (O__ je ______)
2010,Spain,Western Europe,Daniel Diges,Algo peque_ito
2010,Turkey,Independent,maNga,We Could Be the Same
2010,Ukraine,Former Socialist Bloc,Alyosha,Sweet People
2010,United Kingdom,Independent,Josh Dubovie,That Sounds Good to Me
2009,Montenegro,Former Yugoslavia,Andrea Demirovi?,Just Get Out of My Life
2009,Czech Republic,Former Socialist Bloc,Gipsy.cz,Aven Romale
2009,Belgium,Western Europe,Patrick Ouch_ne,Copycat
2009,Belarus,Former Socialist Bloc,Petr Elfimov,Eyes That Never Lie
2009,Sweden,Scandinavia,Malena Ernman,La voix
2009,Armenia,Former Socialist Bloc,Inga and Anush,Jan Jan
2009,Andorra,Western Europe,Susanne Georgi,La teva decisi¢ (Get a Life)
2009,Switzerland,Western Europe,Lovebugs,The Highest Heights
2009,Turkey,Independent,Hadise,Dm Tek Tek
2009,Israel,Independent,Noa and Mira Awad,There Must Be Another Way
2009,Bulgaria,Former Socialist Bloc,Krassimir Avramov,Illusion
2009,Iceland,Scandinavia,Yohanna,Is It True?
2009,Macedonia,Former Yugoslavia,Next Time,Neshto shto ke ostane
2009,Romania,Former Socialist Bloc,Elena,The Balkan Girls
2009,Finland,Scandinavia,Waldo's People,Lose Control
2009,Portugal,Western Europe,Flor-de-Lis,Todas as ruas do amor
2009,Malta,Western Europe,Chiara,What If We
2009,Bosnia and Herzegovina,Former Yugoslavia,Regina,Bistra voda
2009,Croatia,Former Yugoslavia,Igor Cukrov feat. Andrea,Lijepa Tena
2009,Ireland,Independent,Sin_ad Mulvey and Black Daisy,Et Cetera
2009,Latvia,Former Socialist Bloc,Intars Busulis,Probka
2009,Serbia,Former Yugoslavia,Marko Kon and Milaan,Cipela
2009,Poland,Former Socialist Bloc,Lidia Kopania,I Don't Wanna Leave
2009,Norway,Scandinavia,Alexander Rybak,Fairytale
2009,Cyprus,Independent,Christina Metaxa,Firefly
2009,Slovakia,Former Socialist Bloc,Kamil Mikul?k and Nela,Le? tmou
2009,Denmark,Scandinavia,Niels Brinck,Believe Again
2009,Slovenia,Former Yugoslavia,Quartissimo feat. Martina,Love Symphony
2009,Hungary,Former Socialist Bloc,Zoli µdok,Dance with Me
2009,Azerbaijan,Former Socialist Bloc,AySel and Arash,Always
2009,Greece,Western Europe,Sakis Rouvas,This Is Our Night
2009,Lithuania,Former Socialist Bloc,Sasha Son,Love
2009,Moldova,Former Socialist Bloc,Nelly Ciobanu,Hora din Moldova
2009,Albania,Former Socialist Bloc,Kejsi Tola,Carry Me in Your Dreams
2009,Ukraine,Former Socialist Bloc,Svetlana Loboda,Be My Valentine
2009,Estonia,Former Socialist Bloc,Urban Symphony,RÊndajad
2009,Netherlands,Western Europe,The Toppers,Shine
2008,Montenegro,Former Yugoslavia,Stefan Filipovi?,Zauvijek volim te
2008,Israel,Independent,Boaz Ma'uda,The Fire in Your Eyes
2008,Estonia,Former Socialist Bloc,Kreisiraadio,Leto svet
2008,Moldova,Former Socialist Bloc,Geta Burlacu,A Century of Love
2008,San Marino,Western Europe,Miodio,Complice
2008,Belgium,Western Europe,Ishtar,O Julissi
2008,Azerbaijan,Former Socialist Bloc,Elnur and Samir,Day After Day
2008,Slovenia,Former Yugoslavia,Rebeka Dremelj,Vrag naj vzame
2008,Norway,Scandinavia,Maria Haukaas Storeng,Hold On Be Strong
2008,Poland,Former Socialist Bloc,Isis Gee,For Life
2008,Ireland,Independent,Dustin the Turkey,Irelande Douze Pointe
2008,Andorra,Western Europe,Gisela,Casanova
2008,Bosnia and Herzegovina,Former Yugoslavia,Laka,Poku?aj
2008,Armenia,Former Socialist Bloc,Sirusho,"""Q_l_"
2008,Netherlands,Western Europe,Hind,Your Heart Belongs to Me
2008,Finland,Scandinavia,TerÊsbetoni,MissÊ miehet ratsastaa
2008,Romania,Former Socialist Bloc,Nico and Vlad,Pe-o margine de lume
2008,Russia,Former Socialist Bloc,Dima Bilan,Believe
2008,Greece,Western Europe,Kalomira,Secret Combination
2008,Iceland,Scandinavia,Euroband,This Is My Life
2008,Sweden,Scandinavia,Charlotte Perrelli,Hero
2008,Turkey,Independent,Mor ve _tesi,Deli
2008,Ukraine,Former Socialist Bloc,Ani Lorak,Shady Lady
2008,Lithuania,Former Socialist Bloc,Jeronimas Milius,Nomads in the Night
2008,Albania,Former Socialist Bloc,Olta Boka,Zemr_n e lam_ peng
